name
الفاتحة
البقرة 
آل عمران
النساء 
المائدة
الأنعام 
الأعراف 
الأنفال 
التوبة 
يونس 
هود 
يوسف 
الرّعد 
إبراهيم 
الحجر 
النحل 
الإسراء 
الكهف 
مريم 
طه 
الأنبياء 
الحج 
المؤمنون 
النّور 
الفرقان 
الشعراء 
النمل 
القصص 
العنكبوت 
الروم 
لقمان 
السجدة 
الأحزاب 
سبإ 
فاطر 
يس 
الصّافّات 
ص 
الزمر 
غافر 
فصّلت 
الشورى 
الزخرف 
الدخان 
الجاثية 
الأحقاف 
محمّـد 
الفتح 
الحُـجُـرات 
ق 
الذاريات 
الـطور 
الـنحـم 
الـقمـر 
الـرحـمـن 
الواقيـة 
الحـديد 
الـمجادلـة 
الـحـشـر 
الـمـمـتـحنة 
الـصّـف 
الـجـمـعـة 
الـمنافقون 
الـتغابن 
الـطلاق 
الـتحريم 
الـملك 
الـقـلـم 
الـحاقّـة 
الـمعارج 
نوح 
الجن 
الـمـزّمّـل 
الـمّـدّثّـر 
الـقـيامـة 
الإنسان 
الـمرسلات 
الـنبإ 
الـنازعات 
عبس 
التكوير 
الانفطار 
المطـفـفين 
الانشقاق 
البروج 
الـطارق 
الأعـلى 
الغاشـيـة 
الفجر 
الـبلد 
الـشـمـس 
اللـيـل 
الضـحى 
الـشرح 
الـتين 
الـعلق 
الـقدر 
الـبينة 
الـزلزلة 
الـعاديات 
الـقارعـة 
الـتكاثر 
الـعصر 
الـهمزة 
الـفيل 
قريش 
المـاعون 
الـكوثر 
الـكافرون 
الـنصر 
الـمسد 
الإخلاص 
الـفلق 
الـناس 
